年均温,年降水,蒸散量,母岩,DEM,坡度,坡向,地形部位,TWI,平面曲率,剖面曲率,NDVI,LAI,植被类型,土地利用,地表土壤湿度,pH,coordinates_x,coordinates_y
15.028365,1002.367,922.0557,4,2075,0.0,7,5,6.3900332,0.0026082916797769,0.0,0.4261346968371936,1.427276878794596,1,1,30.719137,5.82,34664983.286,2825909.9305000007
14.775065,990.05505,916.30365,3,2027,4.739089,3,4,5.8664937,-0.0006200926815055,-2.0798882607384764e-05,0.2230061523701358,0.6878101081646881,4,1,28.727251,6.54,34658107.8558,2821502.3758000005
14.779432,995.0451,920.2065,4,2045,0.0,7,3,10.308952,-0.0009617088974935,0.0,0.2018429938281875,0.5942996005920813,1,1,29.445898,7.19,34660760.578,2820796.216499999
14.809776,996.2608,921.11487,4,2044,2.0541027,1,4,8.535263,0.0048340175700415,0.0020500184694959,0.2964118027619309,0.951308375355101,1,1,28.652033,6.12,34661523.9004,2821116.9954000004
14.857031,977.85175,910.18646,3,1981,2.0540173,5,4,12.254863,0.0009616813237122,0.0006832814236576,0.2458208394378956,0.7608647596879125,1,1,28.519579,6.92,34653703.602,2820440.2762
14.841526,978.01874,909.6936,6,1986,2.2535613,8,3,7.3839703,-0.0006834347134767,-0.0005677911730436,0.3048729900221322,0.9760896436196131,1,1,26.562681,6.53,34652916.5062,2821936.6108999997
14.878785,1000.38654,923.5751,4,2055,2.253557,8,3,12.611538,-0.000835199550171,0.0003212543267073,0.2315131609275252,0.7099304194800267,1,1,31.806118,6.5,34663523.398,2822036.424900001
15.385489,959.8301,900.1312,4,1947,2.9633796,3,5,10.308952,0.0012397567254854,0.0003715837349481,0.2440528272496373,0.7548617182814813,1,1,29.096212,7.05,34644619.7676,2817184.8604000006
15.345207,957.6538,901.32477,4,1935,1.8543341,3,4,10.308952,-0.0008982980928647,-0.0005567996501091,0.2238437999756216,0.6888935607599166,4,1,27.175898,7.48,34642630.9499,2817537.0946999993
14.751133,993.64087,918.9434,2,2044,1.0272604,5,3,7.7305436,-0.0021383654149705,-0.0010247657147523,0.2495366347618641,0.7799626122227209,1,1,30.72916,6.45,34660073.7424,2819490.5186
15.257745,951.34814,903.38495,3,1901,3.0774784,5,3,12.9480095,-6.2819087090596e-05,-0.0003412189260358,0.3109447253584514,0.9990141236964744,2,1,26.039183,6.46,34639076.453,2812042.933
14.560499,983.65753,908.03143,6,2032,0.92740995,3,3,22.647049,0.001239289423594,0.0005567995001092,0.3306225438557901,1.100186344747148,4,1,30.011484,5.54,34658069.8253,2812787.5950000007
15.28308,954.02057,904.26245,3,1917,1.0265975,5,1,6.882736,-0.0031878963002926,-0.0006822974497942,0.1995903610136162,0.5039356799941048,2,1,26.715685,6.0,34637466.111,2810682.6247000005
14.391428,992.44476,907.2161,2,2092,2.1191504,4,3,7.3839703,0.002324918122176,0.0004318694352163,0.298513428668357,0.9584529344809364,4,1,27.422283,6.53,34666915.4433,2809779.6011999995
15.267972,952.9562,903.6376,3,1904,3.2132683,1,5,19.252245,0.0019840297190285,0.0024378116694752,0.3828276510038425,1.2287224500453937,2,1,27.197487,5.99,34637846.3881,2810202.6692999993
15.308235,956.7074,903.8255,3,1914,1.0264275,1,4,10.308952,-0.0002783998500455,8.991551691628652e-15,0.2704733338221093,0.8587985744869749,2,1,28.781855,5.66,34636417.7867,2808403.426000001
15.273134,952.2969,903.8775,3,1904,0.92740995,3,2,17.607397,-0.0022627876649351,-0.0005567995001092,0.3528867538215639,1.1533936501863136,2,1,26.094988,5.99,34638433.117,2811607.740599999
14.414224,993.16656,909.1935,2,2095,3.077019,1,4,12.739955,0.002262383874876,0.0017055841192058,0.2649168626300922,0.8427738177553407,4,1,27.023615,6.16,34666900.9978,2810338.2784
14.446617,979.99744,904.3761,6,2036,1.8543341,7,3,6.851615,0.0002156615397666,0.0005567996501091,0.3015254395535846,0.9712754893010934,4,1,29.637041,5.89,34658437.3548,2810658.2147000004
14.482777,980.9262,905.26105,6,2034,1.3833606,8,3,11.0021,-0.0003411686337987,-0.0001878676360315,0.2395013999160743,0.7478114945352976,4,1,29.309547,5.8,34658049.2381,2811259.7447999995
14.506506,980.56335,904.89124,2,2039,2.2520733,8,3,7.7305436,-0.0015175459615482,-0.0009394755598999,0.292887236636142,0.9413698775588706,4,1,28.809616,4.96,34657237.4261,2811360.592
15.333086,960.489,907.78625,4,1917,2.2520819,4,3,6.631932,-0.0004039526574386,-0.0002883355038365,0.3633259473903473,1.1920885781666015,4,1,28.764702,5.93,34634979.0808,2811152.7744999994
15.3289175,959.71875,907.5247,4,1914,4.1001,1,4,9.381597,0.002478383674497,0.0010877067201524,0.3543981743018643,1.157683614589729,4,1,29.62761,6.43,34635229.6404,2811527.7963999994
14.421034,982.1577,906.97815,6,2041,0.92740995,3,4,11.17432,0.0008351995501637,0.0008351992501638,0.2763735700353449,0.8730705283547386,4,1,28.984665,5.89,34661001.6994,2811023.6209999993
15.203996,950.724,901.61127,1,1920,7.1484027,4,4,12.388394,0.0022271988005002,0.002056771261316,0.3177132595665873,1.0217050740762716,1,1,27.369366,6.09,34638612.8937,2807667.1887999997
14.236981,974.0269,893.4755,6,2075,2.963038,7,3,13.199325,-6.242046750994904e-05,4.248348408790016e-06,0.3508962346988946,1.1445187912090515,4,1,27.471525,5.47,34661520.616,2804453.4525000006
15.281146,971.00543,914.67926,4,2022,2.7645407,8,2,14.240778,-0.0029431904976825,-0.0016268295375498,0.3350590060174525,1.0935842801799094,1,1,26.571402,4.92,34630768.8148,2805930.812000001
15.296474,971.327,915.78827,3,1967,7.448345,3,4,5.8070683,-0.0008071014965445,0.0009389493487395,0.2795675470698374,0.8932720301613958,1,1,27.405472,5.72,34630501.0175,2807183.7927
15.290192,961.5823,905.28784,3,1937,1.3829949,8,3,7.4366503,-0.000681683148045,-0.0009881555189422,0.2581502168543856,0.804198262102998,4,1,29.0862,8.04,34634244.5464,2804570.2569999993
14.28567,974.9929,896.9567,6,2070,1.0262742,5,3,15.3588085,0.0002783998500545,0.0,0.370365778592756,1.221983386948591,4,1,28.98419,6.74,34660614.2055,2806659.1147000007
14.302823,978.61035,897.8375,6,2077,0.0,7,4,17.304718,6.256024322457321e-05,0.0,0.2608991254727143,0.8271027910176126,2,1,25.558233,5.87,34663092.8715,2807237.7095999997
14.263537,973.0639,896.8371,2,2086,3.8435464,7,5,8.594154,0.0057898237037109,0.0039886510296154,0.3151236485027451,1.0200524901276402,4,1,28.690472,5.73,34658485.256799996,2806548.0847999994
15.291487,955.06836,901.64197,3,1922,2.1190522,2,4,13.567049,-0.000681904982575,0.0001011913871488,0.2795917261589191,0.8842624544372178,4,1,28.530025,6.21,34636917.9387,2806760.4174000006
14.692387,952.8399,900.7662,2,2047,2.2515275,4,4,7.5544333,-0.0021365207355723,-0.0005758791831697,0.3495307297550171,1.1466021802536512,4,1,25.560667,5.38,34645551.640200004,2807276.5933999997
14.287931,985.58026,894.9411,6,2085,2.0518763,1,3,14.369395,-0.0002783998500564,0.0,0.3089712303769676,0.9990282273095066,4,1,34.360413,8.15,34665721.0785,2806631.9059999995
14.236552,975.6404,893.3949,6,2072,2.9630435,7,4,12.9480095,0.0001535376598137,0.0004535571101914,0.2823536118466609,0.8813329412199884,2,1,29.150366,4.81,34662297.7657,2804661.2295999993
14.24162,975.1974,893.81964,6,2073,2.1189702,8,3,13.353475,0.0013633602221399,5.8528355903322126e-05,0.2696622596859399,0.8303014002302923,2,1,29.608774,4.67,34661978.7713,2804851.4459000006
14.247508,985.5667,891.6825,6,2087,3.2121332,5,4,12.7938595,0.0018577880563394,0.0008368408695627,0.2127945205802124,0.6515826437337523,4,1,30.577831,4.58,34665960.7821,2805361.8575999998
14.238338,984.24744,891.9308,6,2088,5.0582,2,4,12.254863,0.0037155487741597,0.0021878252232286,0.2681095899848402,0.8498430731142288,4,1,29.92273,7.01,34665532.7519,2805240.780200001
14.268992,985.99664,891.87036,6,2087,2.2513044,6,3,13.972514,-0.0002783998500564,0.0004151878132857,0.3616911173861574,1.1857083638763135,4,1,30.671978,8.33,34665984.6197,2805933.6347000003
14.257683,977.1472,894.6347,6,2074,2.2512658,2,3,13.527828,0.0008351995501657,-0.0005519678874825,0.233311297281541,0.7185546570680542,2,10,30.145124,8.67,34662721.9606,2805642.6182000004
14.581431,956.1498,898.2394,6,2030,0.92740995,3,4,6.03329,0.0009888950467172,0.0016703985003276,0.240300771623421,0.7489451918306564,1,1,28.164734,5.34,34648159.6049,2802995.9396
14.993027,948.39545,900.5987,2,1963,3.5896091,6,3,11.116857,-0.0015168462580175,-0.0007225486702271,0.3910255071978794,1.2971501617308951,4,1,27.87983,6.07,34640313.3643,2804296.885500001
14.089476,990.5326,892.9705,6,2114,2.1189005,8,4,19.638142,0.0017950882844124,0.0002296278757897,0.2461599054007302,0.7745671239771167,3,10,31.687622,6.07,34668243.1238,2803050.7478
14.127306,988.26556,892.02686,2,2112,2.7641919,4,4,12.611538,0.0004654700336872,0.0012315674459779,0.3278855400656456,1.0670607922655546,2,1,30.138706,5.64,34667375.6546,2803305.679300001
14.260884,968.42993,893.222,2,2110,0.0,7,5,9.929286,0.0019198442172829,0.0,0.2685516224052655,0.8536197698622506,4,1,26.352278,5.62,34658707.4138,2803256.4174000006
14.022528,988.6839,891.7618,6,2116,1.0258669,1,3,13.304685,0.0,0.0,0.4108974126511818,1.370154779143124,3,1,33.63938,6.43,34668468.3204,2801472.3936
13.988707,989.213,892.22174,6,2117,2.2506273,6,5,11.0021,0.0018571372446134,0.0007590870556213,0.2149023409379426,0.6537036054189503,3,1,30.869549,5.79,34669110.7441,2801122.0571
14.182395,979.7546,891.22003,6,2091,3.8434818,7,3,7.495542,-0.0010223015943537,0.0002439010470869,0.2244484116870144,0.6903180966034603,4,1,27.612661,4.83,34664373.9997,2803476.3399
15.202924,961.65204,907.1764,3,1957,3.0753188,1,3,6.7720823,-0.0012382794832709,-0.0006814797609395,0.3132158240686853,1.0159042160581166,4,1,27.557453,5.75,34633575.9207,2802571.4869999997
14.720665,948.53284,899.6702,6,2022,0.0,7,4,14.376461,0.0,0.0,0.3237868617793031,1.0426502848441648,2,1,26.583782,5.51,34644416.7858,2802943.0286
14.054762,992.0485,893.5765,6,2117,3.2115395,5,5,13.017003,0.0002783998500384,2.3169867338693723e-05,0.2124261072873307,0.6469059239830511,3,1,29.838936,5.07,34669187.1441,2802672.112400001
14.211677,977.6808,892.1895,6,2080,2.9630282,7,2,12.75477,-0.0030960097588775,-0.0012293595548603,0.2374597483639379,0.7366691486035569,2,1,28.561115,4.28,34663401.3842,2804134.5501000006
15.267078,962.51166,906.5277,3,1939,2.7802885,7,4,7.4366503,0.0013008516941209,0.0002783998389434,0.2225366001673494,0.6832183809965955,4,10,29.058926,5.8,34633773.5071,2804088.6061000004
13.949189,992.5869,895.57465,2,2157,6.3334665,2,3,6.8263993,6.224756337375241e-05,-3.841718443422037e-05,0.2601583737342477,0.8150158245508915,3,1,30.285118,5.82,34671792.9257,2801193.987299999
14.227267,970.6165,891.8942,2,2082,1.3828622,2,5,16.641777,0.0018573646253699,0.0006316676058737,0.2488312587611577,0.7809999456076197,1,1,27.880276,5.66,34661023.1551,2802524.5187999997
14.399843,959.662,894.8434,2,2074,0.92740995,7,4,14.657121,0.0003407171423534,0.0,0.2699855054505005,0.8568040258530938,4,1,28.857882,5.63,34654492.6203,2802340.3137
14.597162,954.2069,898.82855,6,2029,1.025994,5,3,7.090077,-0.0011759470260656,-0.0003407473759019,0.3288736032353325,1.0723952341376637,1,1,26.592495,5.13,34647281.4957,2802868.4038999993
13.988644,984.5273,889.99347,6,2110,2.962921,3,4,15.865781,0.0001865881764876,-0.0014125465847062,0.2342549369120491,0.7291546244298,2,1,32.948624,4.87,34667492.9607,2800132.9727
14.021088,984.0164,890.01227,6,2115,3.588814,8,3,11.695247,-6.221726303277112e-05,0.0011857672437984,0.3150396382173176,1.0211581961789982,2,1,29.45526,5.64,34667095.0281,2800537.050899999
14.344247,961.68164,891.4317,6,2019,0.92740995,3,3,7.4366503,-0.0021973833382723,-0.0008351992501638,0.2485553513195292,0.7764836992720406,1,1,28.054228,4.95,34659437.7377,2799047.5439
14.647365,953.78235,896.6879,6,2013,1.0257916,5,4,16.652834,0.0008056505756125,0.0013624498757218,0.2623587707669022,0.8241788335034275,2,1,27.468142,4.79,34649649.3239,2800245.570800001
14.585708,956.8911,892.5204,2,1959,4.492918,4,4,10.308952,0.0006807743193515,0.0010274838341252,0.2753492404592208,0.880232022162306,1,1,29.828644,6.02,34657898.6241,2795877.4605
14.416608,961.19696,891.2145,6,2011,1.3824546,4,3,15.339391,-0.0006187567959491,-6.204540511614155e-06,0.2751630570990381,0.8750758168253575,1,1,28.128971,5.39,34659665.6718,2795294.0878999997
14.794039,948.9595,895.91895,6,1946,0.92740995,7,3,12.388394,-0.0005567997001091,-0.0005567995001092,0.2410098371594699,0.7523648741963928,1,1,29.546131,5.52,34654164.6291,2793302.0643000007
14.80106,948.8849,895.80035,6,1944,0.0,7,4,14.200773,0.0010208217292278,0.0,0.266056279213996,0.8355088191496246,1,1,29.216627,5.07,34654051.1359,2793607.9197000004
14.789749,949.5856,895.2876,6,1944,1.3824285,8,4,12.100712,-0.0001238688841549,-0.0001238702230508,0.2210861449058236,0.6804687083234078,1,3,28.65987,5.99,34653994.0188,2794770.4133
14.436832,961.33795,891.82056,6,2019,2.0500257,1,3,6.285358,0.0012374260075376,0.0006806262574284,0.3099218506968485,0.9993245657192548,1,1,27.51072,5.01,34659428.2399,2794435.1756999996
14.3512,963.0135,890.5545,6,2010,3.4525206,6,4,10.327023,-0.0005567997001217,-0.0003607759939688,0.2529112592313673,0.7950296187457035,1,10,28.09625,5.69,34660376.5049,2795197.9705999997
14.076539,972.59534,887.3334,6,2115,1.8543341,7,3,7.4652295,6.185897036504155e-05,-0.0002783998250545,0.3786109582032818,1.2515292919432186,1,1,29.938028,4.94,34663831.7206,2793423.3123000003
14.864086,947.7579,896.1887,1,1921,10.506454,5,3,5.4083486,-0.0028153463701542,-0.001817009249629,0.3211385538500922,1.043047792032734,1,1,29.557644,6.3,34650546.3624,2795028.8061999995
14.107161,970.6742,887.67725,6,2108,1.3823868,8,4,11.0021,-0.0002783998500456,0.0004872273813852,0.3916202175570921,1.2988974855970628,1,1,27.420141,4.97,34663212.8698,2794153.264799999
14.630862,953.0268,897.7495,3,2033,2.1184425,6,4,12.873902,0.0003401140905308,0.0006006531252648,0.2262803851973767,0.651460581818047,2,1,26.738373,6.02,34655440.3685,2790440.5681
14.612419,954.213,897.5757,3,2038,2.962671,7,4,8.852124,0.002195655912287,0.0016965477829055,0.2133740790917013,0.6444907946306709,2,1,26.694868,4.72,34655782.8621,2790464.0782999992
14.269028,974.33325,895.65247,6,2078,1.8543341,3,4,11.91839,-0.0013010795021749,-0.0002783998250564,0.2275475239778235,0.7003857659659835,4,1,28.123247,5.02,34660707.8905,2805886.1756999996
15.064186,971.8694,904.5419,3,1976,0.92740995,3,3,6.5792513,0.0008351995501637,0.0008351992501638,0.2992031073671332,0.9588452418399216,4,1,26.15388,6.65,34648934.0845,2819930.6203000005
14.810551,982.4608,912.49023,3,1993,2.963497,7,4,8.577842,0.0013919992502818,0.0008240163586327,0.2551214095954826,0.7993196089319928,1,1,28.289804,7.22,34655205.81,2821675.76
14.772712,989.5765,916.44116,4,2017,2.2537515,4,3,15.954164,0.0008985860691428,0.0008407633282464,0.2090233256454453,0.6219379801133375,4,1,27.460531,6.72,34658174.8438,2823318.7807
14.822992,977.9814,909.3765,6,1993,8.61389,5,4,8.188689,0.0031009080833887,0.0022383668819364,0.3717998885249948,1.2292726133085166,1,1,29.678902,5.55,34652244.551,2823168.4619999994
14.716407,985.55914,911.93024,2,2029,3.2145147,1,4,12.753037,0.0016440632185662,0.0012753354305948,0.3981398428937535,1.3290770190277774,3,1,29.940918,5.92,34657020.9225,2816073.226399999
14.391058,975.9417,899.89996,2,2073,6.8841014,2,3,7.4054112,0.0028187877487171,0.002358966223926,0.4025299996199034,1.33835353862481,4,2,30.000128,5.43,34655700.075,2808686.7894
14.526209,981.8821,906.2337,6,2034,1.0266778,1,3,12.7938595,-0.0006196020163542,-0.000341202066296,0.2621366306602294,0.824551447172735,4,1,28.410078,5.84,34657698.0361,2811940.2763
14.844352,950.9475,900.9445,2,2010,2.1190956,4,5,7.842116,0.0046142814256116,0.0014814815622804,0.2572390906197492,0.8146942770772321,4,2,26.708887,5.45,34644144.108,2808028.8275000006
15.235628,951.7212,901.9774,3,1919,0.92740995,7,4,13.353475,0.0001252117369163,0.000431748483986,0.4149593490150265,1.3833229247363668,4,1,28.49289,5.41,34638073.7968,2807848.8178000003
14.964334,946.94244,900.4454,2,1999,1.0259304,5,4,17.110813,-0.0002160946883741,0.000340704911735,0.4902411264714396,1.6561067519029178,1,1,26.944073,5.36,34640101.4956,2801946.9354999997
14.446743,960.3721,896.5876,1,2042,2.1189313,2,4,8.829156,0.0010223562211013,0.0002395542467517,0.2966660866751909,0.9534805612118648,1,1,28.278646,4.67,34652135.6339,2803685.2441000007
14.968604,945.7653,901.16547,2,2008,1.8543341,3,3,6.5893526,0.0014240423955499,-0.0002783998250564,0.1939849259571458,0.5768719824041357,3,2,26.89718,5.09,34638599.7384,2797683.9466999993
14.320495,963.0761,891.66626,6,2025,1.3827157,4,4,6.020044,-0.0001540168186469,-0.0009199429851634,0.426904496494622,1.4233717237642698,1,4,27.927309,7.02,34659432.6976,2799919.2525999993
15.118613,968.53546,902.96185,3,1940,6.8840117,8,4,7.740008,0.0041497841318383,0.0031676113658737,0.295976356586465,0.95284245812983,4,1,28.136705,6.98,34649082.796900004,2816585.0002999995
14.728576,993.1836,918.7153,6,2040,2.2531033,8,3,7.4366503,-0.0006830977535944,-0.001030007550689,0.0241640052718589,0.2151147720477844,4,1,28.91917,7.15,34660167.903400004,2818698.4376
14.927349,974.9085,907.65295,6,1970,1.3838719,2,4,9.1049795,0.0017336262022708,0.0005064683448333,0.2721877883253706,0.8658276715708463,4,1,28.299898,6.15,34651596.9576,2820159.946799999
14.850427,977.5289,909.54504,6,1980,2.119603,8,4,13.199325,0.0006834163180178,6.977090609902142e-05,0.3187365594834294,1.031513230704041,1,1,26.306526,7.66,34652696.5654,2821732.223099999
14.908084,975.51337,907.65594,6,1980,1.3839265,4,3,15.764377,0.0009617517982422,0.0011151563090099,0.2686657715801908,0.8531255652398253,4,1,28.119543,6.55,34651252.499,2821104.473099999
14.744969,988.99713,914.93585,2,2034,2.2529867,4,4,7.7305436,0.0002783998500564,-0.0001841338667219,0.2833109590807067,0.901725343377343,1,1,28.433378,6.52,34658035.4842,2817909.2948000003
14.483139,984.4474,909.3972,1,2037,2.9632432,3,3,15.462244,-0.0010236476630164,-0.0007233290430489,0.3578987224976611,1.172794858380031,4,1,30.093079,8.73,34660393.051300004,2812229.5616999995
14.491068,984.4959,909.4214,6,2037,1.383422,2,3,13.676249,-6.28236614810996e-05,-0.000676077217991,0.3061979241272335,0.983140452231699,4,1,30.87467,8.74,34660146.4641,2812349.7173999995
15.312309,954.84204,904.3879,3,1894,2.053283,1,4,13.017003,0.0006827919597724,0.0006827919097724,0.2666243893311616,0.8465916063782621,1,1,27.578337,7.81,34638428.0181,2815499.1577000003
14.368601,989.52264,904.58374,2,2102,1.3832363,2,3,8.969307,-0.0007447725138089,-0.0004382099374578,0.2354001571137118,0.6929656265304013,4,1,26.201973,4.25,34666257.6346,2809196.2347
14.367469,989.8526,904.56323,6,2094,3.0767362,1,3,8.29872,0.0009605086710978,0.000682108798821,0.3496748588159322,1.1477322050956482,4,1,26.148743,4.35,34666379.1649,2809147.584899999
14.356112,990.56824,903.7746,6,2085,2.9631534,3,3,10.308952,-0.0006194420851352,-0.0002930852367968,0.307123092857187,0.992540626465738,4,1,27.158924,5.72,34666739.0446,2808861.376
14.932522,949.49023,901.04504,2,2002,8.489323,6,3,6.462704,0.0039042510168007,0.0029737052038261,0.3036584614100417,0.9587987463366644,4,1,25.602798,4.86,34642815.7226,2807899.9716999996
14.24501,973.8408,894.27136,6,2077,2.7643871,4,3,13.864301,-0.0019201781443072,-0.0006942810354948,0.2479672618431285,0.7752277280870249,4,1,25.015766,5.35,34661099.1893,2804940.4549000002
15.331004,959.67236,904.46967,3,1917,1.026378,5,4,11.0699,0.0,0.0,0.3190871506919026,1.017759747178704,4,1,27.947557,5.65,34635472.1077,2807748.4109000005
14.066709,984.14685,890.4057,6,2128,3.7047918,3,3,8.461053,-0.0003406655984283,0.0,0.367189206352693,1.211419141044215,2,1,31.260538,6.58,34666710.2745,2801481.3028999995
14.05211,989.22705,892.03534,6,2114,2.9629729,7,4,13.835313,0.0004029919796491,-0.000163515539667,0.2736065485781739,0.8618457547959524,2,10,34.396107,7.04,34668312.3244,2802079.9738999996
14.045771,991.7344,893.35767,6,2120,2.9629834,3,3,15.737911,-0.0005567997001181,-0.0006901008086144,0.2063997490420222,0.6254424323803568,3,10,30.260345,5.3,34669170.2893,2802470.5265999995
15.0731735,947.45325,899.48926,2,2004,6.3994,5,3,6.6839266,0.0039906054115553,0.0020340527688706,0.2258660434082793,0.674933445092523,1,1,27.086859,5.96,34639438.0526,2793949.0551999994
14.310714,963.21136,891.25684,6,2023,0.92740995,3,3,7.090077,-8.979286949512625e-15,0.0,0.3180202497226123,1.033353307126612,1,1,27.162167,6.07,34659860.8417,2799440.6510000005
15.076719,947.48737,899.4603,2,2011,4.094713,5,3,6.140476,-0.0038667848442032,-0.0013611861687121,0.2064489751936101,0.6083569491055231,1,1,27.049456,5.52,34639446.9463,2793873.2081000004
15.316279,1001.8307,917.92676,4,1954,4.739248,7,1,6.247907,-0.0026736918836684,-0.0001166790054039,0.2572234551766522,0.8088456571707929,4,2,28.508293,7.94,34668275.2257,2831200.3707
15.052517,996.636,916.37396,4,1978,12.27212,4,3,5.62079,-6.38278782139153e-05,-0.0028270993965364,0.2608364461835039,0.8170840609207883,2,1,29.473877,8.37,34665319.4101,2832007.8981999997
14.92973,992.8029,915.21094,4,2003,10.889588,4,4,7.704209,0.0027379944935201,0.0002517893679464,0.3345425401314664,1.0923749101956448,2,2,29.281698,7.65,34663499.7866,2832387.1681999993
14.82298,988.62506,913.7733,4,2101,11.162049,2,3,5.730069,-0.0015197074247988,-0.0016049241736975,0.1894344603714318,0.5624069259975273,1,2,29.622902,5.24,34661169.5406,2832456.369000001
14.900137,992.128,914.64307,4,2092,4.209243,1,2,6.38323,-0.0023320067449464,-0.0017027969412282,0.2020931909859812,0.5911466856045392,2,2,30.38763,4.95,34662996.2403,2832746.706599999
15.261022,1002.21906,916.8677,4,2018,8.225049,6,2,6.906214,-0.004002433604877,-0.0055949917718429,0.5248993549514112,1.781085866214205,4,2,28.972782,8.55,34668317.9462,2832863.7092000004
15.217857,1000.83795,917.0027,4,1978,5.5221524,2,1,5.5395303,-0.004878273989339,-0.0001191834246521,0.3840836438694408,1.271614623519637,4,10,29.281012,8.66,34667595.3934,2832298.0099
15.167483,1001.2096,915.9028,4,1966,10.9441805,2,4,9.59865,0.0089044607419112,0.0007672263978189,0.3776641260855118,1.2500539880017745,3,2,29.898493,8.6,34667547.4787,2833664.8839
14.870949,991.18243,914.1375,4,2068,0.92740995,3,3,7.252788,0.00027839985006,0.0002783997500601,0.2625112343632864,0.8335842773918379,2,2,31.66431,4.87,34662413.1776,2832968.1489000004
15.178017,999.58307,917.53827,4,1950,7.2190704,1,2,7.083942,-0.0009627967386504,3.0116612456080223e-05,0.2875800927007599,0.91607627478392,4,2,29.900028,8.68,34666850.0009,2831436.438100001
15.051957,996.46893,916.9284,4,1973,8.170531,5,1,6.1014957,-0.0032538126262042,-0.0010266138210801,0.1923443428143633,0.563547410663182,2,1,28.764122,8.0,34665343.8998,2831536.636600001
15.282438,1001.9123,917.3752,4,1952,4.5029416,6,2,5.7928643,-0.0008990258867739,-0.0001471461720952,0.2075475839403756,0.6271892072260614,4,2,28.856724,8.64,34668186.0967,2831996.1982000005
